,rowId,x,y,z,radius,link
324,325,13018.0,24034.0,17484.0,27.0,324
325,326,13036.0,24106.0,17538.0,27.0,325
326,327,13036.0,24178.0,17574.0,31.2492,326
327,328,13054.0,24250.0,17592.0,27.0,327
328,329,13054.0,24322.0,17610.0,45.0,328
329,330,13072.0,24412.0,17628.0,45.0,329
330,331,13072.0,24466.0,17646.0,27.0,330
331,332,13072.0,24538.0,17646.0,27.0,331
332,333,13072.0,24610.0,17646.0,27.0,332
333,334,13090.0,24646.0,17664.0,27.0,333
334,335,13090.0,24754.0,17664.0,45.0,334
335,336,13108.0,24844.0,17700.0,45.0,335
336,337,13108.0,24898.0,17718.0,27.0,336
337,338,13108.0,24970.0,17718.0,27.0,337
338,339,13108.0,25042.0,17718.0,27.0,338
339,340,13108.0,25114.0,17754.0,27.0,339
340,341,13108.0,25186.0,17754.0,27.0,340
341,342,13108.0,25258.0,17790.0,27.0,341
342,343,13108.0,25330.0,17808.0,27.0,342
343,344,13108.0,25366.0,17808.0,27.0,343
344,345,13126.0,25384.0,17826.0,27.0,344
345,346,13126.0,25456.0,17826.0,27.0,345
346,347,13144.0,25528.0,17826.0,27.0,346
347,348,13144.0,25564.0,17844.0,16.4558,347
348,349,13144.0,25600.0,17862.0,27.0,348
349,350,13144.0,25672.0,17880.0,27.0,349
350,351,13144.0,25744.0,17880.0,27.0,350
351,352,13144.0,25780.0,17880.0,27.0,351
352,353,13126.0,25798.0,17898.0,27.0,352
353,354,13126.0,25852.0,17898.0,41.9117,353
354,355,13126.0,25888.0,17934.0,31.2492,354
355,356,13108.0,25960.0,17934.0,27.0,355
356,357,13108.0,26032.0,17934.0,27.0,356
357,358,13090.0,26104.0,17934.0,27.0,357
358,359,13090.0,26176.0,17934.0,27.0,358
359,360,13090.0,26248.0,17934.0,27.0,359
360,361,13090.0,26320.0,17934.0,27.0,360
361,362,13090.0,26356.0,17934.0,27.0,361
362,363,13108.0,26428.0,17934.0,45.0,362
363,364,13072.0,26584.0,17934.0,43.6274,363
364,365,13072.0,26698.0,17934.0,9.0,364
365,366,13072.0,26734.0,17934.0,27.0,365
366,367,13071.4,26861.0,17921.0,40.2915,366
367,368,13054.0,26986.0,17880.0,45.0,367
368,369,13054.0,27040.0,17880.0,27.0,368
369,370,13078.0,27124.0,17904.0,34.8034,369
370,371,13099.7,27167.3,17925.7,36.1811,370
371,372,13162.0,27292.0,17952.0,45.0,371
372,373,13216.0,27364.0,17988.0,41.9117,372
373,374,13270.0,27454.0,18024.0,41.9117,373
374,375,13324.0,27490.0,18024.0,27.0,374
375,376,13378.0,27544.0,18024.0,27.0,375
376,377,13378.0,27616.0,18006.0,45.0,376
377,378,13369.6,27752.9,17942.4,50.0756,377
378,379,13396.0,27832.0,17952.0,27.0,378
379,380,13396.0,27922.0,17970.0,31.2492,379
380,381,13360.0,28030.0,17988.0,45.0,380
381,382,13324.0,28138.0,17988.0,27.0,381
382,383,13324.0,28210.0,17988.0,27.0,382
383,384,13306.0,28282.0,17970.0,27.0,383
384,385,13306.0,28354.0,17970.0,27.0,384
385,386,13324.0,28444.0,17934.0,41.9117,385
386,387,13324.0,28534.0,17916.0,45.0,386
387,388,13342.0,28588.0,17898.0,27.0,387
388,389,13360.0,28660.0,17880.0,27.0,388
389,390,13360.0,28732.0,17880.0,27.0,389
390,391,13396.0,28804.0,17826.0,41.9117,390
391,392,13432.0,28948.0,17808.0,41.9117,391
392,393,13450.0,29002.0,17808.0,27.0,392
393,394,13450.0,29074.0,17808.0,27.0,393
394,395,13468.0,29146.0,17844.0,27.0,394
395,396,13468.0,29182.0,17862.0,27.0,395
396,397,13468.0,29236.0,17862.0,9.0,396
397,398,13468.0,29254.0,17862.0,9.0,397
398,399,13468.0,29290.0,17862.0,27.0,398
399,400,13486.0,29398.0,17862.0,41.9117,399
400,401,13504.0,29452.0,17862.0,27.0,400
401,402,13522.0,29542.0,17862.0,31.2492,401
402,403,13558.0,29614.0,17844.0,31.2492,402
403,404,13594.0,29704.0,17844.0,41.9117,403
404,405,13648.0,29830.0,17844.0,65.2159,404
405,406,13756.0,29956.0,17826.0,41.9117,405
406,407,13810.0,30064.0,17808.0,41.9117,406
407,408,13846.0,30136.0,17808.0,31.2492,407
408,409,13882.0,30208.0,17808.0,27.0,408
409,410,13900.0,30262.0,17790.0,31.2492,409
410,411,13936.0,30352.0,17754.0,31.2492,410
411,412,13954.0,30424.0,17754.0,41.9117,411
412,413,13990.0,30514.0,17754.0,31.2492,412
413,414,14008.0,30550.0,17754.0,27.0,413
414,415,14044.0,30622.0,17754.0,47.921,414
415,416,14116.0,30748.0,17736.0,31.2492,415
416,417,14152.0,30820.0,17736.0,27.0,416
417,418,14188.0,30928.0,17736.0,41.9117,417
418,419,14242.0,31000.0,17754.0,31.2492,418
419,420,14278.0,31054.0,17754.0,31.2492,419
420,421,14314.0,31072.0,17772.0,27.0,420
421,422,14428.4,31142.4,17826.0,63.1596,421
422,423,14548.0,31108.0,17826.0,27.0,422
423,424,14602.0,31072.0,17808.0,41.9117,423
424,425,14674.0,31054.0,17808.0,31.2492,424
425,426,14728.0,31036.0,17808.0,45.0,425
426,427,14803.9,31016.7,17805.4,43.7143,426
427,428,14854.0,31000.0,17772.0,27.0,427
428,429,14890.0,30964.0,17736.0,27.0,428
429,430,14890.0,30964.0,17700.0,27.0,429
430,431,14926.0,30946.0,17664.0,45.0,430
431,432,14962.0,31000.0,17646.0,27.0,431
432,433,14962.0,31072.0,17646.0,27.0,432
433,434,15016.0,31144.0,17610.0,41.9117,433
