,upstream_bodyId,downstream_bodyId,upstream_roi,downstream_roi,ux,uy,uz,dx,dy,dz,upstream_confidence,downstream_confidence
488,1130687130,5813078552,aL(R),aL(R),16098,29505,10051,16089,29497,10048,0.988,0.993673
489,1130687130,5813078552,aL(R),aL(R),15915,29549,10556,15905,29532,10549,0.995,0.978961
490,1130687130,5813078552,aL(R),aL(R),15762,29737,7356,15778,29732,7367,0.998,0.931193
491,1110972158,5813078552,bL(R),bL(R),17606,31553,20484,17607,31543,20503,0.993,0.916736
492,1109568718,5813078552,aL(R),aL(R),15866,30902,18244,15862,30916,18254,0.994,0.992611
493,1108545599,5813078552,aL(R),aL(R),17528,27486,6594,17540,27481,6574,0.831,0.790688
494,1108545599,5813078552,aL(R),aL(R),15582,28381,10299,15587,28379,10307,0.982,0.989442
495,1108545472,5813078552,aL(R),aL(R),14770,31047,17872,14770,31047,17858,0.911,0.871387
496,1078875017,5813078552,aL(R),aL(R),15131,30626,17348,15123,30620,17356,0.985,0.80585
497,1078875017,5813078552,aL(R),aL(R),16223,30115,13961,16218,30108,13959,0.932,0.98859
498,1078875017,5813078552,bL(R),bL(R),21138,30942,21141,21135,30946,21124,0.74,0.999355
499,1078007730,5813078552,bL(R),bL(R),22432,30082,20209,22418,30088,20193,0.966,0.989832
500,1078007730,5813078552,bL(R),bL(R),21221,29112,20828,21236,29112,20813,0.976,0.679533
501,1047489962,5813078552,aL(R),aL(R),14362,31226,18038,14363,31207,18042,0.902,0.750006
502,1047183897,5813078552,bL(R),bL(R),22163,28349,20410,22158,28359,20418,0.938,0.959269
503,1034198388,5813078552,PED(R),PED(R),13275,19621,16430,13275,19611,16438,0.995,0.995849
