bodyId,instance,type
297230760,PDM22f_pct(PDM22)_R,PDM22f_pct
1762351201,,olfactory LN
1100404634,PVM01olc_pct(PVM01)_R,PVM01olc_pct
5813045792,LPLC1(PVL01)_R,LPLC1
5813021899,PDL26a_pct(PDL26)_R,PDL26a_pct
5813055162,mPN1_VA1d(AVM01)_R,VA1d adPN
942388574,,
793992755,PVL03op_pct(PVL03)_R,PVL03op_pct
294786630,PDL11t_pct(PDL11)_R,PDL11t_pct
1324028712,AVL13p_pct(AVL13)_R,AVL13p_pct
5813050000,PFNa(PB03)_R3,PFNa
5812982372,KCab-s,KCab-sc
1976565858,AVM03j_pct(AVM03)_R,AVM03j_pct
1255095486,PVM04j_pct(PVM04)_R,PVM04j_pct
5812989784,LC15,LC15
1791353247,AVM17a_pct(AVM17)_R,AVM17a_pct
1202462198,PAM02(B'2a)_L,PAM02
700683875,FQ9_b_C8_L,FQ9_b
5813041426,,
945531980,AVL06g_pct(AVL06)_R,AVL06g_pct
1658199518,LC6,LC6
1749274582,(PLBDL4)_R,
731140809,(ADM04)_L,
1231066662,R5(ring)(AVM07)_R,R5
453989516,ADL18k_pct(ADL18)_R,ADL18k_pct
1418618235,SIFamide(PDM34),SIFamide
885163107,ADL12d_pct(ADL12)_R,ADL12d_pct
892273269,LC10,LC10
1723658004,LC27,LC27
730562988,ADL03s_pct(ADL03)_R,ADL03s_pct
578337028,(MBDLaxon1),
451062462,PVM12i_pct(PVM12)_R,PVM12i_pct
1840428467,(aDT9)(AVM19)_L,
1169999059,KCa'b',KCa'b'
1036257907,PVM08d_b_pct(PVM08)_R,PVM08d_b_pct
1475188631,PVL07m_pct(PVL07)_R,PVL07m_pct
1848820426,LC17(lVLPT7)_R,LC17
5812993252,LC10(PLBDL3)_R,LC10
5813061564,ADL04q_a_pct(ADL04)_R,ADL04q_a_pct
602459213,KCg,KCg
2005484604,PVM06n_c_pct(PVM06)_R,PVM06n_c_pct
514475106,PDM08m_pct(PDM08)_R,PDM08m_pct
5813081176,KCg-d,KCg
1223616241,(PVM09)_L,
5813032424,(MBDLaxon2),
632013356,KCab-c,KCab-sc
578155687,PDL08h_pct(PDL08)_R,PDL08h_pct
1995598377,PVM01oh_pct(PVM01)_R,PVM01oh_pct
1777871882,PVL02oc_pct(PVL02)_R,PVL02oc_pct
893633230,LC10,LC10
604976663,(PDM09)_L,
1009130464,PDM16h_pct(PDM16)_R,PDM16h_pct
359555152,ADL03m_c_pct(ADL03)_R,ADL03m_c_pct
5812995163,PVM07q_pct(PVM07)_R,PVM07q_pct
5812982594,KCg,KCg
1254512048,(PVM10)_L,
883798219,PDM10m_b_pct(PDM10)_R,PDM10m_b_pct
732086360,PDL21n_b_pct(PDL21)_R,PDL21n_b_pct
828658121,(MBDLaxon1),
